Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000           1.0890      -0.2140       1.3031   315.0
0.0050           1.0844      -0.1767       1.2611   304.9
0.0100           1.0177      -0.0762       1.0939   264.5
0.0150           1.0366       0.0748       0.9619   232.5
0.0200           1.0489       0.2550       0.7939   191.9
0.0250           1.0952       0.4334       0.6619   160.0
0.0300           1.1551       0.5896       0.5654   136.7
0.0350           1.3382       0.7126       0.6256   151.2
0.0400           1.4788       0.8094       0.6694   161.8
0.0450           1.4789       0.8686       0.6103   147.6
0.0500           1.4810       0.8785       0.6025   145.7
0.0550           1.5179       0.8873       0.6306   152.4
0.0600           1.6017       0.8891       0.7127   172.3
0.0650           1.5972       0.8818       0.7154   172.9
0.0700           1.6641       0.8793       0.7848   189.7
0.0750           1.6814       0.8780       0.8033   194.2
0.0800           1.6417       0.8640       0.7777   188.0
0.0850           1.6377       0.8371       0.8006   193.5
0.0900           1.7685       0.8000       0.9685   234.1
0.0950           1.7439       0.7561       0.9878   238.8
0.1000           1.7226       0.7053       1.0173   245.9
0.1050           1.7762       0.6713       1.1048   267.1
0.1100           1.9541       0.6533       1.3008   314.5
0.1150           2.0993       0.6468       1.4525   351.2
0.1200           1.9912       0.6812       1.3100   316.7
0.1250           1.9705       0.7597       1.2108   292.7
0.1300           1.9764       0.8536       1.1228   271.4
0.1350           1.9111       0.9172       0.9939   240.3
0.1400           1.9309       0.9785       0.9524   230.3
0.1450           1.9577       1.0222       0.9356   226.2
0.1500           1.9432       1.0335       0.9097   219.9
0.1550           1.9525       1.0240       0.9286   224.5
0.1600           1.8091       1.0024       0.8067   195.0
0.1650           1.8705       0.9659       0.9046   218.7
0.1700           1.7996       0.8983       0.9013   217.9
0.1750           1.8673       0.8205       1.0468   253.1
0.1800           1.7687       0.7514       1.0173   245.9
0.1850           1.7714       0.7025       1.0689   258.4
0.1900           1.7680       0.6762       1.0918   264.0
0.1950           1.7395       0.6709       1.0686   258.3
0.2000           1.7467       0.7003       1.0464   253.0
0.2050           1.6727       0.7369       0.9358   226.2
0.2100           1.7311       0.7548       0.9764   236.0
0.2150           1.7840       0.7608       1.0231   247.4
0.2200           1.8988       0.7621       1.1366   274.8
0.2250           1.8844       0.7673       1.1171   270.1
0.2300           1.8902       0.7754       1.1148   269.5
0.2350           1.9170       0.7824       1.1346   274.3
0.2400           2.0499       0.7958       1.2541   303.2
0.2450           1.9867       0.8549       1.1318   273.6
0.2500           1.9839       0.9208       1.0631   257.0
0.2550           2.1079       0.9704       1.1376   275.0
0.2600           2.1605       1.0037       1.1568   279.7
0.2650           2.1845       1.0318       1.1527   278.7
0.2700           2.1554       1.0278       1.1276   272.6
0.2750           2.1387       1.0062       1.1325   273.8
0.2800           2.0136       0.9653       1.0483   253.4
0.2850           2.1070       0.9262       1.1808   285.5
0.2900           2.0323       0.8974       1.1349   274.4
0.2950           2.0907       0.8838       1.2069   291.8
0.3000           2.2012       0.8819       1.3193   319.0
0.3050           2.2596       0.9096       1.3500   326.4
0.3100           2.3112       0.9529       1.3583   328.4
0.3150           2.1435       1.0200       1.1235   271.6
0.3200           2.1570       1.0755       1.0815   261.5
0.3250           2.2585       1.1190       1.1396   275.5
0.3300           2.3342       1.1557       1.1784   284.9
0.3350           2.2397       1.1705       1.0692   258.5
0.3400           2.2461       1.1715       1.0747   259.8
0.3450           2.3683       1.1576       1.2107   292.7
0.3500           2.3077       1.1250       1.1827   285.9
0.3550           2.3709       1.0952       1.2757   308.4
0.3600           2.3715       1.0787       1.2928   312.6
0.3650           2.3779       1.0770       1.3009   314.5
0.3700           2.2721       1.0733       1.1988   289.8
0.3750           2.2877       1.0628       1.2248   296.1
0.3800           2.3625       1.0642       1.2983   313.9
0.3850           2.4133       1.0787       1.3347   322.7
0.3900           2.4144       1.0810       1.3335   322.4
0.3950           2.4557       1.0877       1.3680   330.7
0.4000           2.4270       1.0991       1.3279   321.0
0.4050           2.5401       1.1207       1.4194   343.2
0.4100           2.6344       1.1594       1.4750   356.6
0.4150           2.5933       1.1705       1.4228   344.0
0.4200           2.5411       1.1703       1.3708   331.4
0.4250           2.4944       1.1481       1.3463   325.5
0.4300           2.4091       1.1135       1.2956   313.2
0.4350           2.3285       1.0967       1.2318   297.8
0.4400           2.4056       1.0763       1.3293   321.4
0.4450           2.4395       1.0643       1.3752   332.5
0.4500           2.4685       1.0704       1.3981   338.0
0.4550           2.4208       1.1174       1.3034   315.1
0.4600           2.4436       1.1642       1.2794   309.3
0.4650           2.4209       1.2118       1.2090   292.3
0.4700           2.4165       1.2475       1.1691   282.6
0.4750           2.4400       1.2541       1.1859   286.7
0.4800           2.5038       1.2329       1.2709   307.3
0.4850           2.4016       1.1945       1.2071   291.8
0.4900           2.1683       1.1434       1.0248   247.8
0.4950           2.2201       1.0822       1.1379   275.1
0.5000           2.2443       1.0262       1.2181   294.5
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000           1.1364      -0.2140       1.3504   326.5
0.0050           0.9994      -0.1687       1.1681   282.4
0.0100           1.0357      -0.0401       1.0757   260.1
0.0150           1.0369       0.1423       0.8946   216.3
0.0200           1.0943       0.3491       0.7452   180.2
0.0250           1.1995       0.5587       0.6408   154.9
0.0300           1.2775       0.7357       0.5419   131.0
0.0350           1.3167       0.8523       0.4644   112.3
0.0400           1.3763       0.9070       0.4692   113.4
0.0450           1.4097       0.9025       0.5071   122.6
0.0500           1.4806       0.8326       0.6480   156.7
0.0550           1.5323       0.7254       0.8068   195.1
0.0600           1.4866       0.6195       0.8671   209.6
0.0650           1.4865       0.5594       0.9271   224.1
0.0700           1.4041       0.5235       0.8806   212.9
0.0750           1.5263       0.5088       1.0175   246.0
0.0800           1.6159       0.5329       1.0830   261.8
0.0850           1.6820       0.5762       1.1059   267.4
0.0900           1.6954       0.6486       1.0467   253.1
0.0950           1.7348       0.7234       1.0114   244.5
0.1000           1.7875       0.7760       1.0115   244.5
0.1050           1.7610       0.8107       0.9503   229.7
0.1100           1.6749       0.8439       0.8311   200.9
0.1150           1.6292       0.8741       0.7551   182.5
0.1200           1.6767       0.8890       0.7877   190.4
0.1250           1.8085       0.8951       0.9134   220.8
0.1300           1.8619       0.9283       0.9337   225.7
0.1350           1.9026       0.9582       0.9445   228.3
0.1400           2.0477       0.9749       1.0727   259.3
0.1450           2.0395       0.9873       1.0522   254.4
0.1500           2.0114       0.9903       1.0211   246.9
0.1550           2.0672       0.9755       1.0916   263.9
0.1600           2.0478       0.9818       1.0660   257.7
0.1650           2.0296       0.9894       1.0402   251.5
0.1700           2.0901       0.9696       1.1205   270.9
0.1750           2.1268       0.9373       1.1895   287.6
0.1800           1.9967       0.9125       1.0842   262.1
0.1850           2.0749       0.8893       1.1856   286.6
0.1900           1.9210       0.8613       1.0598   256.2
0.1950           2.0530       0.8319       1.2211   295.2
0.2000           2.0136       0.8318       1.1818   285.7
0.2050           2.0004       0.8574       1.1430   276.3
0.2100           2.0106       0.9074       1.1032   266.7
0.2150           1.9578       0.9451       1.0126   244.8
0.2200           2.0492       0.9714       1.0778   260.6
0.2250           2.0147       0.9788       1.0359   250.4
0.2300           2.0591       0.9631       1.0960   265.0
0.2350           2.1902       0.9563       1.2339   298.3
0.2400           2.3675       0.9500       1.4176   342.7
0.2450           2.3538       0.9447       1.4092   340.7
0.2500           2.2753       0.9637       1.3116   317.1
0.2550           2.0590       0.9693       1.0897   263.4
0.2600           2.1025       0.9838       1.1187   270.5
0.2650           2.0513       0.9751       1.0762   260.2
0.2700           2.0027       0.9368       1.0659   257.7
0.2750           1.9549       0.8960       1.0589   256.0
0.2800           1.9444       0.8534       1.0910   263.8
0.2850           1.8639       0.8098       1.0541   254.8
0.2900           1.8674       0.7738       1.0936   264.4
