      Step     Time          Energy          fmax
BFGS:    0 00:25:02        3.822687        2.256716
BFGS:    1 00:25:02        3.697428        1.332428
BFGS:    2 00:25:02        3.611941        0.274958
BFGS:    3 00:25:02        3.604894        0.264218
BFGS:    4 00:25:02        3.600011        0.218381
BFGS:    5 00:25:02        3.595183        0.202009
BFGS:    6 00:25:02        3.592555        0.166516
BFGS:    7 00:25:02        3.591596        0.101367
BFGS:    8 00:25:02        3.590964        0.098377
BFGS:    9 00:25:02        3.589954        0.103809
BFGS:   10 00:25:02        3.588786        0.079451
BFGS:   11 00:25:02        3.588212        0.052107
BFGS:   12 00:25:02        3.588042        0.048296
