      Step     Time          Energy          fmax
BFGS:    0 00:29:56        6.462742        3.770913
BFGS:    1 00:29:56        6.227814        1.937162
BFGS:    2 00:29:56        6.086960        0.398074
BFGS:    3 00:29:56        6.048647        0.333188
BFGS:    4 00:29:56        6.019209        0.561221
BFGS:    5 00:29:56        5.993406        0.625479
BFGS:    6 00:29:56        5.974374        0.489863
BFGS:    7 00:29:56        5.958125        0.244740
BFGS:    8 00:29:56        5.944853        0.278169
BFGS:    9 00:29:56        5.938481        0.229648
BFGS:   10 00:29:56        5.932907        0.201620
BFGS:   11 00:29:56        5.929337        0.071161
BFGS:   12 00:29:56        5.928676        0.036998
