      Step     Time          Energy          fmax
BFGS:    0 01:27:23      317.631109       33.691795
BFGS:    1 01:27:23      302.283517       23.645826
BFGS:    2 01:27:23      285.260541       12.135541
BFGS:    3 01:27:23      275.795254        6.628838
BFGS:    4 01:27:23      270.790540        3.183030
BFGS:    5 01:27:23      268.941129        1.151477
BFGS:    6 01:27:23      268.720830        0.490329
BFGS:    7 01:27:23      268.704650        0.256501
BFGS:    8 01:27:23      268.703425        0.175389
BFGS:    9 01:27:23      268.702312        0.061649
BFGS:   10 01:27:23      268.701960        0.015502
BFGS:   11 01:27:23      268.701916        0.004171
